Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,Term,Department,Year,Semester,AY
RED-511,Foundations of Real Estate Analysis,4.0 units,Lecture,51603R,38.0,6:00-9:20pm,Monday,30.0,28.0,Ben Feingold,20233,RED,2023,F,AY24
RED-542,Finance of Real Estate Development,3.0 units,Lecture,51605D,38.0,6:00-8:50pm,Thursday,30.0,24.0,Alon Kraft Babak Ziai,20233,RED,2023,F,AY24
,,,Lab,51606R,38.0,2:00-3:50pm,Thursday,30.0,24.0,Iain Gulin,20233,RED,2023,F,AY24
RED-544,Real Estate Capital Markets,2.0 units,Lecture,51607D,38.0,6:30-8:20pm,Wednesday,50.0,35.0,Shlomi Ronen,20233,RED,2023,F,AY24
RED-562,Legal Issues in Real Estate Development,4.0 units,Lecture,51609D,38.0,8:00-11:20am,Monday,30.0,20.0,Keith Allen-Niesen,20233,RED,2023,F,AY24
RED-563,Introduction to the Asset Management of Real Estate,2.0 units,Lecture,51610D,38.0,8:00-9:50am,Tuesday,35.0,20.0,Stanley Iezman,20233,RED,2023,F,AY24
RED-574,Building Typologies,2.0 units,Lecture,51612D,38.0,4:00-5:50pm,Wednesday,25.0,25.0,Nicholas Zaharov,20233,RED,2023,F,AY24
,,,Lecture,51613D,38.0,6:00-7:50pm,Wednesday,20.0,8.0,Nicholas Zaharov,20233,RED,2023,F,AY24
RED-590,Directed Research,1.0-12.0 units,Lecture,51614D,38.0,TBA,,10.0,2.0,Mary Lynne Boorn,20233,RED,2023,F,AY24
RED-598,Real Estate Product Development,"2.0-4.0 units, max 12",,,,,,,,,20233,RED,2023,F,AY24
,Office and Industrial,2.0,Lecture,51616D,38.0,6:00-7:50pm,Monday,35.0,16.0,Lionel Uhry,20233,RED,2023,F,AY24
HMGT-512,Information Technology and Patient Engagement,2.0 units,Lecture,51713D,820.0,TBA,,15.0,13.0,Sean Johnson,20233,HMGT,2023,F,AY24
,,,Lecture,51715D,820.0,TBA,,15.0,8.0,Sean Johnson,20233,HMGT,2023,F,AY24
HMGT-520,Leading People and Health Care Organizations,4.0 units,Lecture,51710D,820.0,TBA,,15.0,10.0,Lisa Ozaeta,20233,HMGT,2023,F,AY24
HMGT-540,"Health Economics, Financing and Reimbursement",4.0 units,Lecture,51712D,820.0,TBA,,30.0,25.0,Patrick Gless,20233,HMGT,2023,F,AY24
HMGT-570,Strategic Management,4.0 units,Lecture,51714D,820.0,TBA,,15.0,11.0,Gregory Chesley,20233,HMGT,2023,F,AY24
HMGT-575,Managing and Improving Health,4.0 units,Lecture,51722D,820.0,TBA,,20.0,15.0,Michael Harris,20233,HMGT,2023,F,AY24
HMGT-600,Managing Risk,2.0 units,Lecture,51716D,820.0,TBA,,15.0,10.0,Victor Pena,20233,HMGT,2023,F,AY24
HMGT-601,Operations Management for Accountability,4.0 units,Lecture,51721D,820.0,TBA,,20.0,16.0,Michael Harris,20233,HMGT,2023,F,AY24
HMGT-602,Operational Efficiency Processes in Health Care Organizations,2.0 units,Lecture,51718D,820.0,TBA,,20.0,14.0,Joseph Sierra,20233,HMGT,2023,F,AY24
,,,Lecture,51719D,820.0,TBA,,17.0,10.0,Joseph Sierra,20233,HMGT,2023,F,AY24
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0 units,Lecture,51720D,820.0,TBA,,17.0,12.0,Stanley Augustine,20233,HMGT,2023,F,AY24
PPD-301,PPD Practices: Internship Seminar,2.0 units,Lecture,51393D,524.0,TBA,,25.0,23.0,Julia Toothacre,20232,PPD,2023,SU,AY24
PPD-490x,Directed Research,"1.0-8.0 units, max 12",Lecture,51100D,51.0,TBA,,15.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
,,,Lecture,51101D,50.0,TBA,,15.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
,,,Lecture,51107D,59.0,TBA,,15.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
PPD-503,Economics for Public Policy,4.0 units,Lecture,51396D,597.0,5:30-7:35pm,"Tue, Thu",32.0,20.0,T.J. Mccarthy,20232,PPD,2023,SU,AY24
,,,Lecture,51460D,593.0,TBA,,40.0,26.0,Joshua Russell-Fritch,20232,PPD,2023,SU,AY24
PPD-504,Essential Statistics for Public Management,2.0 units,Lecture,51394D,523.0,6:00-8:30pm,Wednesday,33.0,28.0,Mark Phillips,20232,PPD,2023,SU,AY24
,,,Lecture,51463D,593.0,TBA,,25.0,14.0,Gentian Droboniku,20232,PPD,2023,SU,AY24
PPD-511,Health Information Systems,2.0 units,Lecture,51304R,790.0,TBA,,28.0,9.0,Joan Brown,20232,PPD,2023,SU,AY24
,,,Lecture,51775D,820.0,TBA,,27.0,23.0,Sean Johnson,20232,PPD,2023,SU,AY24
,,,Lecture,51776D,820.0,TBA,,20.0,18.0,Sean Johnson,20232,PPD,2023,SU,AY24
PPD-517,Concepts and Practices in Managing Health Care Organizations,2.0 units,Lecture,51307D,790.0,TBA,,32.0,29.0,Philip Dalton,20232,PPD,2023,SU,AY24
,,,Lecture,51308D,790.0,TBA,,33.0,33.0,Philip Dalton,20232,PPD,2023,SU,AY24
PPD-518,Quality of Care Concepts,2.0 units,Lecture,51201D,59.0,TBA,Tuesday,20.0,0.0,,20232,PPD,2023,SU,AY24
,,,Lecture,51305D,790.0,TBA,,32.0,30.0,Anu Banerjee,20232,PPD,2023,SU,AY24
,,,Lecture,51306D,790.0,TBA,,32.0,29.0,Amy Howell,20232,PPD,2023,SU,AY24
PPD-540,Fundamentals of Public Administration,4.0 units,Lecture,51473D,593.0,TBA,,20.0,11.0,Paul Bentley,20232,PPD,2023,SU,AY24
PPD-541,Public Financial Management and Budgeting,4.0 units,Lecture,51466D,593.0,TBA,,20.0,16.0,Steve Shea,20232,PPD,2023,SU,AY24
PPD-542,Policy and Program Evaluation,4.0 units,Lecture,51301R,790.0,-,,28.0,28.0,Lois Takahashi,20232,PPD,2023,SU,AY24
,,,Lecture,51468D,593.0,TBA,,35.0,33.0,Coral Andrews,20232,PPD,2023,SU,AY24
,,,Lecture,51474D,593.0,-,,20.0,0.0,,20232,PPD,2023,SU,AY24
PPD-545,Public and Nonprofit Organizational Behavior,4.0 units,Lecture,51462D,593.0,-,,25.0,0.0,Adrianne Ward,20232,PPD,2023,SU,AY24
PPD-546,Capstone in Public Administration,4.0 units,Lecture,51302D,790.0,TBA,,24.0,13.0,Peter Robertson,20232,PPD,2023,SU,AY24
,,,Lecture,51470D,593.0,TBA,,20.0,14.0,John Calanni,20232,PPD,2023,SU,AY24
,,,Lecture,51471D,593.0,TBA,,40.0,16.0,John Calanni,20232,PPD,2023,SU,AY24
PPD-554,Foundations of Policy Analysis,4.0 units,Lecture,51404D,530.0,TBA,,28.0,27.0,Lois Takahashi,20232,PPD,2023,SU,AY24
PPD-555,Public Policy Formulation and Implementation,4.0 units,Lecture,51472D,593.0,TBA,,20.0,13.0,Matthew Wheeler,20232,PPD,2023,SU,AY24
PPD-590,Directed Research,1.0-12.0 units,Lecture,51204D,50.0,TBA,,10.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
,,,Lecture,51209D,59.0,TBA,,10.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
,,,Lecture,51213D,51.0,TBA,,10.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
PPD-596,Internship for Curricular Practical Training,"1.0-3.0 units, max 3",Lecture,51212D,59.0,TBA,,20.0,3.0,Thomas Eng,20232,PPD,2023,SU,AY24
PPD-658,Advocacy in Public Administration,4.0 units,Lecture,51402D,530.0,TBA,,28.0,10.0,Matthew Wheeler,20232,PPD,2023,SU,AY24
PPD-667,Public Ethics,4.0 units,Lecture,51309R,790.0,TBA,,28.0,13.0,Deborah Natoli,20232,PPD,2023,SU,AY24
PPD-672,Collaborative Governance,4.0 units,Lecture,51464D,593.0,TBA,,25.0,23.0,Logan O'Shaughnessy,20232,PPD,2023,SU,AY24
PPD-673,Strategic Planning in the Public Sector,4.0 units,Lecture,51303R,790.0,-,,24.0,16.0,Rick Culley,20232,PPD,2023,SU,AY24
,,,Lecture,51465D,593.0,TBA,,20.0,15.0,Tara Blanc,20232,PPD,2023,SU,AY24
PPD-684,Leadership Development in the Public and Nonprofit Sectors,2.0 units,Lecture,51105R,59.0,6:00-8:05pm,Thursday,28.0,0.0,Frederick Owusu,20232,PPD,2023,SU,AY24
PPD-688,Business and Public Policy,4.0 units,Lecture,51200D,59.0,5:00-9:35pm,Wednesday,32.0,9.0,Michael Thom,20232,PPD,2023,SU,AY24
PPD-790,Research,"1.0-12.0 units, max 18",Lecture,51297D,50.0,TBA,,10.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
,,,Lecture,51298R,51.0,TBA,,10.0,0.0,Samantha Malisos,20232,PPD,2023,SU,AY24
,,,Lecture,51299D,59.0,TBA,,15.0,7.0,Samantha Malisos,20232,PPD,2023,SU,AY24
PPDE-506,Professional Residency in Public Administration,1.0 unit,Lecture,51072D,596.0,TBA,,25.0,12.0,Nicolle Halbur,20232,PPDE,2023,SU,AY24
PPDE-507,Capstone Residency in Public Administration,1.0 unit,Lecture,51074D,598.0,TBA,,70.0,16.0,Dora Kingsley Vertenten,20232,PPDE,2023,SU,AY24
,,,Lecture,51075D,598.0,TBA,,20.0,17.0,Dora Kingsley Vertenten,20232,PPDE,2023,SU,AY24
,,,Lecture,51076D,598.0,TBA,,20.0,16.0,Tara Blanc,20232,PPDE,2023,SU,AY24
,,,Lecture,51077D,598.0,TBA,,20.0,16.0,Tara Blanc,20232,PPDE,2023,SU,AY24
PPDE-628,Introduction to Lean Health Care,2.0 units,Lecture,51052R,790.0,-,,25.0,18.0,Trent Lim,20232,PPDE,2023,SU,AY24
PLUS-667,Effective Engagement with Stakeholders,3.0 units,Lecture,51555D,919.0,TBA,,13.0,13.0,Katherine Cole,20232,PLUS,2023,SU,AY24
PLUS-668,Big Data for Planning and Development,2.0 units,Lecture,51556D,919.0,TBA,,13.0,12.0,Kevin Kane,20232,PLUS,2023,SU,AY24
RED-301,Real Estate Internship Seminar,1.0 unit,Lecture,51651D,524.0,TBA,,30.0,25.0,Julia Toothacre,20232,RED,2023,SU,AY24
RED-437,Advanced Finance and Investment for Real Estate Development,4.0 units,Lecture,51650R,55.0,6:00-9:20pm,"Mon, Wed",31.0,29.0,Brian Miller,20232,RED,2023,SU,AY24
RED-500,Real Estate Development and the Economy,2.0 units,Lecture,51601D,531.0,6:00-8:50pm,Monday,30.0,25.0,John Drachman,20232,RED,2023,SU,AY24
RED-541,Finance Fundamentals for Real Estate Development,2.0 units,Lecture,51600D,531.0,6:00-8:50pm,Wednesday,20.0,13.0,Terri Dickerhoff,20232,RED,2023,SU,AY24
RED-542,Finance of Real Estate Development,3.0 units,Lecture,51602D,531.0,2:00-3:50pm,"Mon, Wed",30.0,12.0,Austin Maddux,20232,RED,2023,SU,AY24
,,,Lab,51603R,531.0,2:00-3:50pm,Tuesday,30.0,12.0,Iain Gulin,20232,RED,2023,SU,AY24
RED-547,Project Management and Construction,2.0 units,Lecture,51604D,531.0,6:00-8:50pm,Monday,25.0,16.0,Henry Koffman,20232,RED,2023,SU,AY24
RED-551,The Approval Process,4.0 units,Lecture,51606D,531.0,6:00-8:50pm,"Tue, Thu",60.0,50.0,Nicole Kuklok-Waldman Donna Tripp,20232,RED,2023,SU,AY24
RED-590,Directed Research,1.0-12.0 units,Lecture,51610D,531.0,TBA,,10.0,0.0,Samantha Malisos,20232,RED,2023,SU,AY24
HMGT-512,Information Technology and Patient Engagement,2.0 units,Lecture,51710D,820.0,TBA,,25.0,21.0,Samuel King,20232,HMGT,2023,SU,AY24
HMGT-520,Leading People and Health Care Organizations,4.0 units,Lecture,51719D,820.0,TBA,,15.0,9.0,Lisa Ozaeta,20232,HMGT,2023,SU,AY24
HMGT-565,Managing the Organization's Financial Health,4.0 units,Lecture,51712D,820.0,TBA,,28.0,26.0,Lisa Ozaeta,20232,HMGT,2023,SU,AY24
HMGT-570,Strategic Management,4.0 units,Lecture,51714D,820.0,TBA,,25.0,21.0,Gregory Chesley,20232,HMGT,2023,SU,AY24
HMGT-600,Managing Risk,2.0 units,Lecture,51715D,820.0,TBA,,17.0,15.0,Shawishi Haynes,20232,HMGT,2023,SU,AY24
,,,Lecture,51716D,820.0,TBA,,15.0,7.0,Michael Harris,20232,HMGT,2023,SU,AY24
HMGT-601,Operations Management for Accountability,4.0 units,Lecture,51717D,820.0,TBA,,25.0,12.0,Victor Pena,20232,HMGT,2023,SU,AY24
,,,Lecture,51718D,820.0,TBA,,20.0,14.0,Michael Harris,20232,HMGT,2023,SU,AY24
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0 units,Lecture,51720D,820.0,TBA,,22.0,17.0,Gary Blackard,20232,HMGT,2023,SU,AY24
